Rank,Country,PlansMeasured,AveragePrice1GB,AveragePrice1GB_USD,PriceGrading
228,Saint Helena,4,40.83,52.5,High
227,Falkland Islands,4,32.5,40.41,High
226,Nauru,6,47.18,30.47,High
225,Bermuda,19,28.75,28.75,Medium
224,São Tomé and Príncipe,14,63.89,28.26,Medium
223,Malawi,5,"20,000.00",27.41,Medium
222,Benin,36,"16,500.00",27.22,Medium
221,Chad,26,"2,000.00",23.33,Medium
220,Cayman Islands,13,19.14,23.05,Medium
219,Tokelau,6,29.27,17.75,Medium
218,Cocos (Keeling) Islands,2,26.29,16.98,Medium
217,Yemen,21,"4,000.00",15.98,Medium
216,French Polynesia,11,"1,700.00",15.42,Medium
215,Botswana,13,169.5,13.87,Medium
214,Cyprus,15,12.5,13.56,Medium
212,Cuba,5,13.33,13.33,Medium
213,Turks and Caicos Islands,18,13.33,13.33,Medium
211,Eswatini,24,250,13.31,Medium
210,Equatorial Guinea,4,"7,750.00",12.78,Medium
209,Canada,60,17.63,12.55,Medium
208,Virgin Islands (British),33,12.5,12.5,Medium
207,Greece,12,11.12,12.06,Medium
206,Turkmenistan,3,40,11.44,Medium
205,Seychelles,31,199.33,11.43,Medium
204,Saint Kitts and Nevis,24,29.91,11.07,Medium
203,Curaçao,16,19.78,11.06,Medium
202,South Korea,20,"13,415.28",10.94,Medium
201,Samoa,26,29.05,10.86,Medium
200,Kiribati,23,16.25,10.5,Medium
199,Caribbean Netherlands,28,9.95,9.95,Low
198,Greenland,5,65.69,9.56,Low
197,Andorra,10,8.79,9.54,Low
196,Barbados,17,18.75,9.32,Low
195,Puerto Rico,19,9.17,9.17,Low
194,Aruba,15,16.4,9.11,Low
193,Madagascar,21,"33,333.33",8.81,Low
192,Solomon Islands,20,71.08,8.53,Low
191,Switzerland,14,8.15,8.38,Low
190,Montserrat,13,22.5,8.33,Low
189,Central African Republic,13,"5,000.00",8.25,Low
188,United States,29,8,8,Low
187,Czech Republic,31,199.33,7.95,Low
186,British Indian Ocean Territory,3,7.5,7.5,Low
185,Gibraltar,9,6,7.38,Low
184,Micronesia (Federated States of),7,6.63,7.2,Low
183,Antigua and Barbuda,31,19.38,7.17,Low
182,Panama,11,6.67,6.69,Low
181,Syria,15,"3,375.00",6.55,Low
180,New Zealand,41,10,6.06,Low
179,Bahamas,17,6,6.02,Low
177,Anguilla,14,16,5.92,Low
178,Trinidad and Tobago,8,39.91,5.92,Low
176,Taiwan,29,177.67,5.91,Low
175,Svalbard and Jan Mayen,10,62.33,5.9,Low
174,Guyana,17,"1,139.75",5.46,Low
173,Papua New Guinea,18,18.75,5.4,Low
172,Grenada,18,14.5,5.37,Low
171,Hungary,12,"1,735.00",5.32,Low
170,Angola,9,"3,000.00",5.29,Low
169,Norway,37,55.8,5.28,Low
168,Gambia,22,260,5.1,Low
167,Bolivia,35,35,5.09,Low
166,Portugal,21,4.58,4.97,Very Low
164,Suriname,22,36.67,4.92,Very Low
165,Dominica,15,13.3,4.92,Very Low
163,Gabon,32,"2,967.03",4.89,Very Low
162,Belgium,43,4.5,4.88,Very Low
160,Cape Verde,14,490,4.81,Very Low
161,New Caledonia,9,530,4.81,Very Low
159,Namibia,16,90.78,4.78,Very Low
158,Mexico,54,118.69,4.77,Very Low
157,Libya,7,6.67,4.73,Very Low
156,Virgin Islands (U.S.),11,4.67,4.67,Very Low
155,Sint Maarten,30,8.33,4.66,Very Low
154,Tajikistan,15,47.5,4.65,Very Low
153,Mauritania,20,175,4.63,Very Low
152,Oman,48,1.76,4.58,Very Low
150,Togo,13,"2,727.27",4.5,Very Low
151,Niue,11,7.43,4.5,Very Low
149,Comoros,11,"2,000.00",4.38,Very Low
148,South Africa,54,81,4.3,Very Low
147,Vanuatu,19,500,4.25,Very Low
146,Iraq,18,"5,000.00",4.2,Very Low
145,Lao People's Democratic Republic,27,"37,037.04",4.16,Very Low
142,Qatar,9,15,4.12,Very Low
143,Guinea-Bissau,9,"2,500.00",4.12,Very Low
144,Mali,18,"2,500.00",4.12,Very Low
140,Germany,60,3.74,4.06,Very Low
141,Saint Barthélemy (St. Barts),18,3.75,4.06,Very Low
139,Liechtenstein,10,3.9,4.01,Very Low
138,Montenegro,23,3.63,3.94,Very Low
137,Japan,40,419.52,3.91,Very Low
136,Luxembourg,16,3.58,3.89,Very Low
134,Maldives,17,60,3.88,Very Low
135,Jamaica,12,545,3.88,Very Low
133,Slovakia,32,3.54,3.84,Very Low
132,Lebanon,14,3.82,3.82,Very Low
131,Latvia,12,3.49,3.79,Very Low
130,United Arab Emirates,21,13.89,3.78,Very Low
129,Sierra Leone,16,"35,799.24",3.69,Very Low
128,Malta,18,3.33,3.62,Very Low
127,French Guiana,19,3.33,3.61,Very Low
126,Colombia,60,"13,809.52",3.46,Very Low
125,Tonga,12,7.91,3.41,Very Low
123,Mozambique,22,225,3.33,Very Low
124,Saint Vincent and the Grenadines,14,9,3.33,Very Low
122,Saint-Martin (France),28,3.06,3.32,Very Low
120,Niger,29,"2,000.00",3.3,Very Low
121,Senegal,30,"2,000.00",3.3,Very Low
119,Saint Lucia,15,8.83,3.27,Very Low
118,"Palestine, State of",6,11.43,3.26,Very Low
116,Belize,28,6.52,3.25,Very Low
117,Liberia,31,3.25,3.25,Very Low
114,Ecuador,32,3.24,3.24,Very Low
115,Åland Islands,4,2.99,3.24,Very Low
113,Côte d'Ivoire,20,"1,942.45",3.2,Very Low
112,Honduras,13,3.12,3.12,Very Low
111,Bosnia and Herzegovina,19,5.5,3.04,Very Low
110,The Netherlands,29,2.75,2.98,Very Low
109,Macau,23,23,2.89,Very Low
108,Albania,31,325,2.83,Very Low
107,Cameroon,25,"1,666.67",2.75,Very Low
105,Haiti,23,266.67,2.74,Very Low
106,Costa Rica,16,"1,550.00",2.74,Very Low
104,Northern Mariana Islands,21,2.65,2.65,Very Low
103,Brunei Darussalam,5,3.75,2.64,Very Low
102,Martinique,16,2.4,2.6,Very Low
101,Hong Kong,34,19.8,2.55,Very Low
99,American Samoa,15,2.5,2.5,Very Low
100,Palau,8,2.5,2.5,Very Low
97,Croatia,30,17.25,2.48,Very Low
98,Mauritius,23,99.9,2.48,Very Low
95,Singapore,35,3.5,2.47,Very Low
96,Burkina Faso,31,"1,500.00",2.47,Very Low
94,Ethiopia,8,81.25,2.44,Very Low
93,Guadeloupe,10,2.23,2.42,Very Low
92,Faroe Islands,9,16.6,2.41,Very Low
91,Paraguay,25,"15,000.00",2.3,Very Low
90,Bahrain,18,0.86,2.27,Very Low
89,Bulgaria,23,4,2.22,Very Low
88,Guatemala,27,16.67,2.17,Very Low
87,Finland,17,1.98,2.14,Very Low
85,Peru,36,7.16,2.13,Very Low
86,Lesotho,28,40,2.13,Very Low
83,Saudi Arabia,51,7.96,2.12,Very Low
84,Burundi,44,"4,000.00",2.12,Very Low
81,Guinea,22,"19,833.33",2.08,Very Low
82,Timor-Leste,16,2.08,2.08,Very Low
80,Sweden,60,20.7,2.07,Very Low
79,Guam,23,2,2,Very Low
78,Congo,43,"3,333.33",1.94,Very Low
77,Azerbaijan,26,3.17,1.86,Very Low
76,Lithuania,12,1.71,1.85,Very Low
75,Spain,60,1.67,1.81,Very Low
74,Macedonia,31,99.8,1.75,Very Low
72,Jersey,24,1.38,1.71,Very Low
73,Nicaragua,23,1.71,1.71,Very Low
71,Isle of Man,13,1.33,1.66,Very Low
70,Uganda,60,"6,125.00",1.62,Very Low
69,Serbia,30,173.88,1.6,Very Low
68,Uruguay,38,68.15,1.58,Very Low
67,Afghanistan,48,117.4,1.55,Very Low
66,Cambodia,36,1.5,1.5,Very Low
64,Rwanda,32,"1,346.67",1.48,Very Low
65,Slovenia,34,1.37,1.48,Very Low
63,Iceland,22,213.3,1.46,Very Low
61,El Salvador,30,1.45,1.45,Very Low
62,Argentina,30,96.25,1.45,Very Low
60,Philippines,21,72.17,1.42,Very Low
58,Nigeria,52,500,1.39,Very Low
59,United Kingdom,57,1.12,1.39,Very Low
57,Tunisia,32,4,1.37,Very Low
55,Ireland,17,1.25,1.36,Very Low
56,Zambia,43,20,1.36,Very Low
54,Uzbekistan,45,"13,500.00",1.34,Very Low
53,Estonia,28,1.18,1.27,Very Low
52,Guernsey,20,1,1.24,Very Low
51,Thailand,38,40.1,1.23,Very Low
49,Bhutan,44,88.02,1.16,Very Low
50,San Marino,1,1.07,1.16,Very Low
46,Moldova,16,20.43,1.12,Very Low
47,Malaysia,44,4.9,1.12,Very Low
48,Djibouti,7,200,1.12,Very Low
45,Egypt,25,17.14,1.09,Very Low
43,Austria,48,1,1.08,Very Low
44,Mayotte,11,1,1.08,Very Low
41,Kenya,30,112.15,1.05,Very Low
42,Armenia,34,500,1.05,Very Low
39,Romania,11,0.95,1.03,Very Low
40,Jordan,41,0.73,1.03,Very Low
38,Brazil,40,5.64,1.01,Very Low
36,Western Sahara,21,9.8,0.99,Least
37,Morocco,19,9.8,0.99,Least
35,Monaco,3,0.9,0.98,Least
34,Ghana,35,5.4,0.94,Least
33,Georgia,27,3,0.93,Least
32,Belarus,18,1.9,0.89,Least
31,Nepal,34,104.53,0.86,Least
30,France,42,0.75,0.81,Least
29,Denmark,24,5.47,0.8,Least
28,Myanmar,15,"1,103.87",0.78,Least
27,Kuwait,29,0.24,0.77,Least
26,Iran,18,"31,765.71",0.75,Least
24,Dominican Republic,11,39.93,0.74,Least
25,Mongolia,33,"2,000.00",0.74,Least
23,Tanzania,60,"1,690.48",0.73,Least
21,Turkey,48,5,0.72,Least
22,Réunion,9,0.67,0.72,Least
20,Chile,57,608.26,0.71,Least
18,Poland,57,2.9,0.7,Least
19,Bangladesh,38,59.27,0.7,Least
17,Pakistan,58,110.42,0.69,Least
16,Australia,46,1.05,0.68,Least
15,Algeria,19,83.33,0.65,Least
14,Indonesia,45,"9,900.00",0.64,Least
13,Sudan,31,34.6,0.63,Least
12,China,19,4.3,0.61,Least
11,Fiji,21,1.33,0.59,Least
10,Vietnam,59,"13,333.33",0.57,Least
9,Russian Federation,21,38.33,0.52,Least
8,Sri Lanka,38,98.63,0.51,Least
7,Somalia,25,0.5,0.5,Least
5,Ukraine,12,12.5,0.46,Least
6,Kazakhstan,20,199.17,0.46,Least
4,Italy,42,0.4,0.43,Least
3,Kyrgyzstan,15,16.67,0.21,Least
2,Israel,17,0.4,0.11,Least
1,India,60,6.66,0.09,Least